	Compound_ID	SUPER_PATHWAY	SUB_PATHWAY	HMDB_ID	HMDB_ID_Link	COMP_ID	PLATFORM	CHEMICAL_ID	RT	MZ	RI	MASS	PUBCHEM	CAS	KEGG	Metabolite
1578	1578	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	HMDB0000202	HMDB00202	1496	LC/MS Polar	418	3078.4	117.0193	3078.4	117.0193	487	516-05-2	C02170	methylmalonate (MMA)
1609	1609	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Short Chain)	HMDB0000201	HMDB00201	32198	LC/MS Pos Early	100000802	2282	204.12299999999999	2282	204.12299999999999	1	5080-50-2	C02571	acetylcarnitine (C2)
1613	1613	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)	HMDB0000705	HMDB00705	32328	LC/MS Pos Early	100000781	3358	260.18560000000002	3358	260.18560000000002	6426853	6920-35-0	NA	hexanoylcarnitine (C6)
1616	1616	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)	HMDB0000791	HMDB00791	33936	LC/MS Pos Late	100001247	950	288.21690000000001	950	288.21690000000001	123701	3671-77-0	C02838	octanoylcarnitine (C8)
1619	1619	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)	HMDB0002250	HMDB02250	34534	LC/MS Pos Late	100001392	1235	344.27949999999998	1235	344.27949999999998	10427569	25518-54-1	NA	laurylcarnitine (C12)
1620	1620	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)	HMDB0005066	HMDB05066	33952	LC/MS Pos Late	100001270	1350	372.31079999999997	1350	372.31079999999997	6426854	18822-89-4	NA	myristoylcarnitine (C14)
1621	1621	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)	NA	NA	57522	LC/MS Pos Late	100015842	1362	386.32650000000001	1362	386.32650000000001	NA	NA	NA	pentadecanoylcarnitine (C15)*
1622	1622	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)	HMDB0000222	HMDB00222	44681	LC/MS Pos Late	100000776	1425	400.34210000000002	1425	400.34210000000002	461	6865-14-1	C02990	palmitoylcarnitine (C16)
1623	1623	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)	HMDB0006210	HMDB06210	57512	LC/MS Pos Late	100004054	1424	414.3578	1424	414.3578	NA	106182-29-0	NA	margaroylcarnitine (C17)*
1624	1624	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)	HMDB0000848	HMDB00848	34409	LC/MS Pos Late	100001391	1485	428.3734	1485	428.3734	6426855	18822-91-8	NA	stearoylcarnitine (C18)
1625	1625	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)	HMDB0006460	HMDB06460	57513	LC/MS Pos Late	100015833	1512	456.40469999999999	1512	456.40469999999999	NA	NA	NA	arachidoylcarnitine (C20)*
1626	1626	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)	NA	NA	57514	LC/MS Pos Late	100015832	1561	484.43599999999998	1561	484.43599999999998	NA	NA	NA	behenoylcarnitine (C22)*
1627	1627	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)	NA	NA	57515	LC/MS Pos Late	100015834	1603	512.46730000000002	1603	512.46730000000002	NA	NA	NA	lignoceroylcarnitine (C24)*
1634	1634	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)	NA	NA	63361	LC/MS Pos Late	100021136	1045	314.23259999999999	1045	314.23259999999999	NA	NA	NA	3-decenoylcarnitine
1635	1635	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)	NA	NA	38178	LC/MS Pos Late	100002259	1057	314.23259999999999	1057	314.23259999999999	NA	98930-66-6	NA	cis-4-decenoylcarnitine (C10:1)
1636	1636	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)	HMDB0013326	HMDB13326	61769	LC/MS Pos Late	100016069	1135	342.26389999999998	1135	342.26389999999998	NA	NA	NA	5-dodecenoylcarnitine (C12:1)
1638	1638	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)	NA	NA	48182	LC/MS Pos Late	100006051	1316	370.29469999999998	1316	370.29469999999998	90659872	889848-55-9	NA	myristoleoylcarnitine (C14:1)*
1639	1639	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)	NA	NA	53223	LC/MS Pos Late	100009406	1357	398.32650000000001	1357	398.32650000000001	71464547	NA	NA	palmitoleoylcarnitine (C16:1)*
1640	1640	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)	HMDB0005065	HMDB05065	35160	LC/MS Pos Late	100001501	1423	426.3578	1423	426.3578	6441392	38677-66-6	NA	oleoylcarnitine (C18)
1641	1641	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)	NA	NA	57519	LC/MS Pos Late	100015838	1484	454.38909999999998	1484	454.38909999999998	NA	NA	NA	eicosenoylcarnitine (C20:1)*
1643	1643	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)	NA	NA	57531	LC/MS Pos Late	100015846	1602	510.45170000000002	1602	510.45170000000002	NA	NA	NA	nervonoylcarnitine (C24:1)*
1644	1644	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)	NA	NA	57517	LC/MS Pos Late	100015836	1607	538.48299999999995	1607	538.48299999999995	NA	NA	NA	ximenoylcarnitine (C26:1)*
1645	1645	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)	HMDB0006469	HMDB06469	46223	LC/MS Pos Late	100003151	1430	424.34210000000002	1430	424.34210000000002	6450015	36816-10-1	NA	linoleoylcarnitine (C18:2)*
1647	1647	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)	NA	NA	57520	LC/MS Pos Late	100015839	1436	452.3734	1436	452.3734	NA	NA	NA	dihomo-linoleoylcarnitine (C20:2)*
1648	1648	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)	NA	NA	57518	LC/MS Pos Late	100015837	1353	448.34219999999999	1353	448.34219999999999	NA	NA	NA	arachidonoylcarnitine (C20:4)
1649	1649	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)	NA	NA	57521	LC/MS Pos Late	100015840	1392	450.3578	1392	450.3578	NA	NA	NA	dihomo-linolenoylcarnitine (C20:3n3 or 6)*
1668	1668	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	HMDB0013127	HMDB13127	43264	LC/MS Pos Early	100003926	2400	248.14930000000001	2400	248.14930000000001	53481617	NA	NA	(R)-3-hydroxybutyrylcarnitine
1669	1669	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	NA	HMDB13127_2	52984	LC/MS Pos Early	100009271	2340	248.14930000000001	2340	248.14930000000001	NA	NA	NA	(S)-3-hydroxybutyrylcarnitine
1674	1674	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	NA	NA	61839	LC/MS Pos Late	100019800	1380	416.33710000000002	1380	416.33710000000002	NA	NA	NA	3-hydroxypalmitoylcarnitine
1675	1675	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	NA	NA	61840	LC/MS Pos Late	100019801	1406	442.35270000000003	1406	442.35270000000003	NA	NA	NA	3-hydroxyoleoylcarnitine
1676	1676	Lipid	Carnitine Metabolism	HMDB0001161	HMDB01161	36747	LC/MS Pos Early	100001662	2052	146.11760000000001	2052	146.11760000000001	134	6249-56-5	C01181	deoxycarnitine
1677	1677	Lipid	Carnitine Metabolism	HMDB0000062	HMDB00062	15500	LC/MS Pos Early	100000007	1978	162.11250000000001	1978	162.11250000000001	10917	461-05-2	C00318	carnitine
1682	1682	Lipid	Ketone Bodies	HMDB0000357	HMDB00357	542	LC/MS Polar	254	1444	103.0401	1444	103.0401	441	625-72-9	C01089	3-hydroxybutyrate (BHBA)
1686	1686	Lipid	Fatty Acid Metabolism (Acyl Choline)	NA	NA	52944	LC/MS Pos Late	100009233	1482	342.33670000000001	1482	342.33670000000001	151731	NA	NA	palmitoylcholine
1687	1687	Lipid	Fatty Acid Metabolism (Acyl Choline)	NA	NA	53260	LC/MS Pos Late	100009331	1449	368.35230000000001	1449	368.35230000000001	NA	NA	NA	oleoylcholine
1691	1691	Lipid	Fatty Acid Metabolism (Acyl Choline)	NA	NA	57463	LC/MS Pos Late	100015760	1388	366.33670000000001	1388	366.33670000000001	NA	NA	NA	linoleoylcholine*
1693	1693	Lipid	Fatty Acid Metabolism (Acyl Choline)	NA	NA	57464	LC/MS Pos Late	100015759	1520	370.36799999999999	1520	370.36799999999999	NA	NA	NA	stearoylcholine*
1694	1694	Lipid	Fatty Acid Metabolism (Acyl Choline)	NA	NA	53263	LC/MS Pos Late	100009333	1378	414.33670000000001	1378	414.33670000000001	NA	NA	NA	docosahexaenoylcholine
1695	1695	Lipid	Fatty Acid Metabolism (Acyl Choline)	NA	NA	53261	LC/MS Pos Late	100009332	1390	390.33670000000001	1390	390.33670000000001	NA	NA	NA	arachidonoylcholine
1702	1702	Lipid	Fatty Acid, Monohydroxy	NA	NA	61827	LC/MS Polar	100019960	925	145.08699999999999	925	145.08699999999999	2750949	NA	NA	2-hydroxyheptanoate*
1707	1707	Lipid	Fatty Acid, Monohydroxy	HMDB0031057	HMDB31057	35675	LC/MS Neg	100001579	5511.2	271.22789999999998	5511.2	271.22789999999998	92836	764-67-0	NA	2-hydroxypalmitate
1709	1709	Lipid	Fatty Acid, Monohydroxy	NA	NA	17945	LC/MS Neg	1239	5695	299.25920000000002	5695	299.25920000000002	69417	629-22-1	C03045	2-hydroxystearate
1716	1716	Lipid	Fatty Acid, Monohydroxy	NA	NA	53230	LC/MS Neg	100006367	1725	131.07140000000001	1725	131.07140000000001	151492	10191-24-9	NA	3-hydroxyhexanoate
1717	1717	Lipid	Fatty Acid, Monohydroxy	HMDB0001954	HMDB01954	22001	LC/MS Neg	100000773	3446	159.1027	3446	159.1027	26613	88930-08-9	NA	3-hydroxyoctanoate
1719	1719	Lipid	Fatty Acid, Monohydroxy	HMDB0002203	HMDB02203	22053	LC/MS Neg	100000997	4634.7	187.13399999999999	4634.7	187.13399999999999	26612	5561-87-5	NA	3-hydroxydecanoate
1721	1721	Lipid	Fatty Acid, Monohydroxy	HMDB0000387	HMDB00387	32457	LC/MS Neg	100001112	5175	215.1653	5175	215.1653	94216	53941-38-1	NA	3-hydroxylaurate
1724	1724	Lipid	Fatty Acid, Monohydroxy	NA	NA	61843	LC/MS Neg	100019966	5508	297.24349999999998	5508	297.24349999999998	NA	NA	NA	3-hydroxyoleate*
1735	1735	Lipid	Fatty Acid, Monohydroxy	HMDB0006294	HMDB06294	39609	LC/MS Neg	100002953	5236.2	271.22789999999998	5236.2	271.22789999999998	10466	506-13-8	C18218	16-hydroxypalmitate
1738	1738	Lipid	Fatty Acid, Monohydroxy	NA	NA	37752	LC/MS Neg	100002196	5275	295.22829999999999	5275	295.22829999999999	43013	NA	NA	13-HODE + 9-HODE
1752	1752	Lipid	Fatty Acid, Monohydroxy	NA	NA	52938	LC/MS Neg	100008933	5674	299.25920000000002	5674	299.25920000000002	5282907	45261-96-9	NA	3-hydroxystearate
1763	1763	Lipid	Fatty Acid, Dihydroxy	HMDB0002453	HMDB02453	62950	LC/MS Polar	100002284	1660	119.035	1660	119.035	10964471	5057-93-2	NA	2S,3R-dihydroxybutyrate
1764	1764	Lipid	Fatty Acid, Dihydroxy	HMDB0000498	HMDB00498	63109	LC/MS Polar	100002367	1543	119.035	1543	119.035	NA	759-06-8	NA	2R,3R-dihydroxybutyrate
1852	1852	Lipid	Eicosanoid	NA	HMDB06111	37536	LC/MS Neg	100002167	5326	319.22789999999998	5326	319.22789999999998	5312983	71030-37-0;73837-14-6	NA	12-HETE
1866	1866	Lipid	Endocannabinoid	HMDB0002088	HMDB02088	38102	LC/MS Pos Late	1137	1661	326.30540000000002	1661	326.30540000000002	5283454	11-58-0;111-58-0	NA	oleoyl ethanolamide
1869	1869	Lipid	Endocannabinoid	HMDB0002100	HMDB02100	38165	LC/MS Neg	1489	6300	298.27519999999998	6300	298.27519999999998	4671	544-31-0	C16512	palmitoyl ethanolamide
1879	1879	Lipid	Endocannabinoid	NA	NA	39732	LC/MS Neg	100003119	5610	388.2527	5610	388.2527	6437033	52514-04-2	NA	N-oleoyltaurine
1883	1883	Lipid	Endocannabinoid	NA	NA	61826	LC/MS Neg	100005814	5505	386.2371	5505	386.2371	NA	NA	NA	N-linoleoyltaurine*
1906	1906	Lipid	Inositol Metabolism	HMDB0000211	HMDB00211	1124	LC/MS Polar	363	3506.3	225.0616	3506.3	225.0616	892	87-89-8	C00137	myo-inositol
1935	1935	Lipid	Phospholipid Metabolism	HMDB0000097	HMDB00097	15506	LC/MS Pos Early	1256	1961	104.107	1961	104.107	305	67-48-1	C00114	choline
1936	1936	Lipid	Phospholipid Metabolism	NA	HMDB01565	34396	LC/MS Pos Early	267	700	184.07329999999999	700	184.07329999999999	1014	72556-74-2	C00588	phosphocholine
1939	1939	Lipid	Phospholipid Metabolism	NA	HMDB00086	15990	LC/MS Pos Early	100000269	672	258.11009999999999	672	258.11009999999999	71920	28319-77-9	C00670	glycerophosphorylcholine (GPC)
1941	1941	Lipid	Phospholipid Metabolism	HMDB0000224	HMDB00224	1600	LC/MS Neg	1026	638	140.01179999999999	638	140.01179999999999	1015	1071-23-4	C00346	phosphoethanolamine (PE)
1943	1943	Lipid	Phospholipid Metabolism	HMDB0000114	HMDB00114	37455	LC/MS Polar	100001620	3075	214.04859999999999	3075	214.04859999999999	123874	33049-08-0	C01233	glycerophosphoethanolamine
1945	1945	Lipid	Phospholipid Metabolism	NA	NA	47155	LC/MS Polar	100001621	3850	333.05919999999998	3850	333.05919999999998	167572	16824-65-0	NA	glycerophosphoinositol*
1946	1946	Lipid	Phospholipid Metabolism	HMDB0000925	HMDB00925	40406	LC/MS Pos Early	100003397	2100	76.075699999999998	2100	76.075699999999998	1145	1184-78-7	C01104	trimethylamine N-oxide
1964	1964	Lipid	Phosphatidylcholine (PC)	HMDB0007869	HMDB07869	19258	LC/MS Pos Late	100000672	2147	706.53809999999999	2147	706.53809999999999	129657	69525-80-0	NA	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)
1968	1968	Lipid	Phosphatidylcholine (PC)	HMDB0007883	HMDB07883	53195	LC/MS Pos Late	100009139	1914	754.53809999999999	1914	754.53809999999999	NA	NA	NA	1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*
1980	1980	Lipid	Phosphatidylcholine (PC)	HMDB0000564	HMDB00564	19130	LC/MS Pos Late	100000657	2365	734.56939999999997	2365	734.56939999999997	452110	63-89-8	NA	1,2-dipalmitoyl-GPC (16:0/16:0)
1981	1981	Lipid	Phosphatidylcholine (PC)	HMDB0007969	HMDB07969	52470	LC/MS Pos Late	100008984	2160	732.55380000000002	2160	732.55380000000002	NA	NA	NA	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*
1982	1982	Lipid	Phosphatidylcholine (PC)	HMDB0007970	HMDB07970	52616	LC/MS Pos Late	100008921	2653	762.60069999999996	2653	762.60069999999996	NA	59403-51-9	NA	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)
1984	1984	Lipid	Phosphatidylcholine (PC)	HMDB0007972	HMDB07972	52461	LC/MS Pos Late	1539	2358	760.58510000000001	2358	760.58510000000001	6436017	26853-31-6;26853-31-6	NA	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)
1987	1987	Lipid	Phosphatidylcholine (PC)	HMDB0007973	HMDB07973	42446	LC/MS Pos Late	1537	2160	758.56939999999997	2160	758.56939999999997	5287971	40811-94-7	NA	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)
1990	1990	Lipid	Phosphatidylcholine (PC)	HMDB0007974	HMDB07974	54812	LC/MS Pos Late	100009154	2034	756.55380000000002	2034	756.55380000000002	NA	NA	NA	1-palmitoyl-2-gamma-linolenoyl-GPC (16:0/18:3n6)*
1994	1994	Lipid	Phosphatidylcholine (PC)	NA	NA	52454	LC/MS Pos Late	100008985	2199	784.58510000000001	2199	784.58510000000001	NA	NA	NA	1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*
1998	1998	Lipid	Phosphatidylcholine (PC)	HMDB0007982	HMDB07982	52462	LC/MS Pos Late	100008914	2091	782.56939999999997	2091	782.56939999999997	10747814	35418-58-7	NA	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)
2004	2004	Lipid	Phosphatidylcholine (PC)	HMDB0007991	HMDB07991	52610	LC/MS Pos Late	100008915	2023	806.56939999999997	2023	806.56939999999997	6441886	59403-54-2	NA	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)
2010	2010	Lipid	Phosphatidylcholine (PC)	HMDB0008006	HMDB08006	52683	LC/MS Pos Late	100009075	2003	756.55380000000002	2003	756.55380000000002	NA	NA	NA	1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*
2021	2021	Lipid	Phosphatidylcholine (PC)	HMDB0008038	HMDB08038	52438	LC/MS Pos Late	100008904	2644	788.6164	2644	788.6164	NA	56421-10-4	NA	1-stearoyl-2-oleoyl-GPC (18:0/18:1)
2024	2024	Lipid	Phosphatidylcholine (PC)	HMDB0008039	HMDB08039	52452	LC/MS Pos Late	100008980	2380	786.60069999999996	2380	786.60069999999996	NA	NA	NA	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*
2032	2032	Lipid	Phosphatidylcholine (PC)	HMDB0008048	HMDB08048	42450	LC/MS Pos Late	100001869	2300	810.60069999999996	2300	810.60069999999996	16219824	35418-59-8	NA	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)
2038	2038	Lipid	Phosphatidylcholine (PC)	HMDB0008057	HMDB08057	52611	LC/MS Pos Late	100008916	2197	834.60130000000004	2197	834.60130000000004	NA	59403-52-0	NA	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)
2046	2046	Lipid	Phosphatidylcholine (PC)	NA	NA	52453	LC/MS Pos Late	100008981	2165	784.58510000000001	2165	784.58510000000001	NA	NA	NA	1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*
2056	2056	Lipid	Phosphatidylcholine (PC)	HMDB0008123	HMDB08123	52697	LC/MS Pos Late	100009130	2011	832.58510000000001	2011	832.58510000000001	NA	NA	NA	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*
2057	2057	Lipid	Phosphatidylcholine (PC)	HMDB0008138	HMDB08138	52603	LC/MS Pos Late	100008903	2006	782.56939999999997	2006	782.56939999999997	5288075	998-06-1	NA	1,2-dilinoleoyl-GPC (18:2/18:2)
2058	2058	Lipid	Phosphatidylcholine (PC)	HMDB0008141	HMDB08141	53176	LC/MS Pos Late	100009343	1939	780.55380000000002	1939	780.55380000000002	NA	NA	NA	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*
2062	2062	Lipid	Phosphatidylcholine (PC)	HMDB0008147	HMDB08147	52710	LC/MS Pos Late	100009131	1969	806.56939999999997	1969	806.56939999999997	NA	NA	NA	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*
2104	2104	Lipid	Phosphatidylethanolamine (PE)	HMDB0008927	HMDB05320	19263	LC/MS Pos Late	1526	2509	718.53809999999999	2509	718.53809999999999	5283496	26662-94-2	NA	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)
2106	2106	Lipid	Phosphatidylethanolamine (PE)	HMDB0008928	HMDB05322	42449	LC/MS Pos Late	100001870	2275	716.52250000000004	2275	716.52250000000004	9546747	NA	NA	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)
2109	2109	Lipid	Phosphatidylethanolamine (PE)	HMDB0008937	HMDB05323	52464	LC/MS Pos Late	100008990	2198	740.52250000000004	2198	740.52250000000004	9546800	NA	NA	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*
2111	2111	Lipid	Phosphatidylethanolamine (PE)	HMDB0008946	HMDB05324	52465	LC/MS Pos Late	100008991	2119	764.52250000000004	2119	764.52250000000004	9546799	NA	NA	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*
2118	2118	Lipid	Phosphatidylethanolamine (PE)	NA	HMDB08993	42448	LC/MS Pos Late	100001856	2858	746.56939999999997	2858	746.56939999999997	NA	NA	NA	1-stearoyl-2-oleoyl-GPE (18:0/18:1)
2121	2121	Lipid	Phosphatidylethanolamine (PE)	NA	HMDB08994	52446	LC/MS Pos Late	100008976	2522	744.55380000000002	2522	744.55380000000002	9546749	NA	NA	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*
2126	2126	Lipid	Phosphatidylethanolamine (PE)	NA	HMDB09003	52447	LC/MS Pos Late	100008977	2424	768.55380000000002	2424	768.55380000000002	5289133	NA	NA	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)
2130	2130	Lipid	Phosphatidylethanolamine (PE)	HMDB0009012	HMDB05334	52466	LC/MS Pos Late	100008992	2317	792.55380000000002	2317	792.55380000000002	9546798	NA	NA	1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*
2132	2132	Lipid	Phosphatidylethanolamine (PE)	HMDB0009060	HMDB05349	52687	LC/MS Pos Late	100009078	2270	742.53809999999999	2270	742.53809999999999	9546753	NA	NA	1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*
2141	2141	Lipid	Phosphatidylethanolamine (PE)	HMDB0009102	HMDB09102	53189	LC/MS Pos Late	100009222	2030	764.52250000000004	2030	764.52250000000004	NA	NA	NA	1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*
2220	2220	Lipid	Phosphatidylinositol (PI)	HMDB0009784	HMDB09784	52450	LC/MS Polar	1528	910	833.51850000000002	910	833.51850000000002	NA	NA	NA	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)
2222	2222	Lipid	Phosphatidylinositol (PI)	HMDB0009789	HMDB09789	52467	LC/MS Pos Late	100008993	2567	876.55970000000002	2567	876.55970000000002	NA	NA	NA	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*
2226	2226	Lipid	Phosphatidylinositol (PI)	HMDB0009809	HMDB09809	52468	LC/MS Pos Late	100008994	3185	880.59100000000001	3185	880.59100000000001	NA	NA	NA	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)
2237	2237	Lipid	Phosphatidylinositol (PI)	HMDB0009815	HMDB09815	52449	LC/MS Pos Late	100000616	3000	904.59100000000001	3000	904.59100000000001	NA	383907-33-3	NA	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)
2264	2264	Lipid	Lysophospholipid	HMDB0007856	HMDB07856	52690	LC/MS Neg	100009082	5483	433.23610000000002	5483	433.23610000000002	NA	NA	NA	1-linoleoyl-GPA (18:2)*
2268	2268	Lipid	Lysophospholipid	NA	NA	46325	LC/MS Neg	100004442	5499	457.23610000000002	5499	457.23610000000002	NA	799268-65-8	NA	1-arachidonoyl-GPA (20:4)
2275	2275	Lipid	Lysophospholipid	HMDB0010382	HMDB10382	33955	LC/MS Neg	100001263	6380	570.34130000000005	6380	570.34130000000005	86554	17364-16-8	NA	1-palmitoyl-GPC (16:0)
2276	2276	Lipid	Lysophospholipid	HMDB0061702	HMDB61702	35253	LC/MS Neg	100001562	6215	570.34130000000005	6215	570.34130000000005	15061532	NA	NA	2-palmitoyl-GPC* (16:0)*
2277	2277	Lipid	Lysophospholipid	HMDB0010383	HMDB10383	33230	LC/MS Pos Late	100001511	1450	494.32409999999999	1450	494.32409999999999	24779461	NA	NA	1-palmitoleoyl-GPC* (16:1)*
2284	2284	Lipid	Lysophospholipid	HMDB0010384	HMDB10384	33961	LC/MS Pos Late	100001271	1606	524.37109999999996	1606	524.37109999999996	497299	19420-57-6	NA	1-stearoyl-GPC (18:0)
2286	2286	Lipid	Lysophospholipid	HMDB0002815	HMDB02815	48258	LC/MS Pos Late	100001272	1540	522.35540000000003	1540	522.35540000000003	16081932	19420-56-5	NA	1-oleoyl-GPC (18:1)
2289	2289	Lipid	Lysophospholipid	HMDB0010386	HMDB10386	34419	LC/MS Pos Late	100001395	1465	520.33979999999997	1465	520.33979999999997	11988421	NA	C04100	1-linoleoyl-GPC (18:2)
2291	2291	Lipid	Lysophospholipid	HMDB0010388	HMDB10388	45951	LC/MS Pos Late	100005350	1410	518.32410000000004	1410	518.32410000000004	NA	NA	NA	1-linolenoyl-GPC (18:3)*
2307	2307	Lipid	Lysophospholipid	HMDB0010395	HMDB10395	33228	LC/MS Pos Late	100001551	1460	544.33979999999997	1460	544.33979999999997	NA	NA	C05208	1-arachidonoyl-GPC* (20:4)*
2319	2319	Lipid	Lysophospholipid	HMDB0010405	HMDB10405	49617	LC/MS Pos Late	100002873	1907	608.46500000000003	1907	608.46500000000003	NA	325171-59-3	NA	1-lignoceroyl-GPC (24:0)
2329	2329	Lipid	Lysophospholipid	HMDB0011503	HMDB11503	35631	LC/MS Pos Late	100001567	1544	454.2928	1544	454.2928	9547069	53862-35-4	NA	1-palmitoyl-GPE (16:0)
2336	2336	Lipid	Lysophospholipid	HMDB0011130	HMDB11130	42398	LC/MS Pos Late	100001461	1626	482.32409999999999	1626	482.32409999999999	9547068	69747-55-3	NA	1-stearoyl-GPE (18:0)
2337	2337	Lipid	Lysophospholipid	HMDB0011129	HMDB11129	41220	LC/MS Neg	100003901	6350	480.30959999999999	6350	480.30959999999999	NA	NA	NA	2-stearoyl-GPE (18:0)*
2338	2338	Lipid	Lysophospholipid	HMDB0011506	HMDB11506	35628	LC/MS Pos Late	100001569	1554	480.30849999999998	1554	480.30849999999998	9547071	89576-29-4	NA	1-oleoyl-GPE (18:1)
2340	2340	Lipid	Lysophospholipid	HMDB0011507	HMDB11507	36600	LC/MS Pos Late	100001570	1482	478.2928	1482	478.2928	52925130	NA	NA	1-linoleoyl-GPE (18:2)*
2352	2352	Lipid	Lysophospholipid	HMDB0011517	HMDB11517	35186	LC/MS Pos Late	100001571	1470	502.2928	1470	502.2928	42607465	NA	NA	1-arachidonoyl-GPE (20:4n6)*
2379	2379	Lipid	Lysophospholipid	NA	NA	54885	LC/MS Neg	100009227	5516	507.27280000000002	5516	507.27280000000002	NA	NA	NA	1-linoleoyl-GPG (18:2)*
2380	2380	Lipid	Lysophospholipid	HMDB0061695	HMDB61695	35305	LC/MS Neg	100001655	5564	571.28890000000001	5564	571.28890000000001	NA	NA	NA	1-palmitoyl-GPI* (16:0)
2383	2383	Lipid	Lysophospholipid	HMDB0061696	HMDB61696	19324	LC/MS Neg	100000656	5794	599.3202	5794	599.3202	NA	796963-93-4	NA	1-stearoyl-GPI (18:0)
2385	2385	Lipid	Lysophospholipid	NA	NA	36602	LC/MS Neg	100001777	5599	597.30449999999996	5599	597.30449999999996	NA	NA	NA	1-oleoyl-GPI (18:1)
2387	2387	Lipid	Lysophospholipid	NA	NA	36594	LC/MS Neg	100001778	5494	595.28890000000001	5494	595.28890000000001	NA	NA	NA	1-linoleoyl-GPI* (18:2)*
2392	2392	Lipid	Lysophospholipid	HMDB0061690	HMDB61690	34214	LC/MS Neg	100001654	5482	619.28890000000001	5482	619.28890000000001	NA	NA	NA	1-arachidonoyl-GPI* (20:4)*
2461	2461	Lipid	Plasmalogen	HMDB0011342	HMDB11342	52477	LC/MS Pos Late	100009005	2600	702.54319999999996	2600	702.54319999999996	NA	NA	NA	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*
